app_id,developer,publisher,owners_range,concurrent_users_yesterday,price,initial_price,genres,positive,negative
1361210,Fatshark,Fatshark,"2,000,000 .. 5,000,000",7267,999,3999,"Action, Adventure, RPG",80268,32692
238090,Rebellion,Rebellion,"2,000,000 .. 5,000,000",82,389,2999,"Action, Adventure",22323,4794
1250410,Asobo Studio,Xbox Game Studios,"2,000,000 .. 5,000,000",3245,2099,5999,Simulation,51794,13872
1056640,SEGA,SEGA,"2,000,000 .. 5,000,000",1400,0,0,"Action, Massively Multiplayer, RPG, Free To Play",16848,7196
1942280,Blobfish,Blobfish,"2,000,000 .. 5,000,000",6389,299,499,"Action, Casual, Indie, RPG, Free To Play",94525,3276
881020,"Cygames, Inc.","Cygames, Inc.","2,000,000 .. 5,000,000",996,3999,3999,"Action, Adventure, RPG",43116,4883
204880,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,"2,000,000 .. 5,000,000",280,1999,1999,"Action, Indie, Simulation, Strategy",14919,1096
387290,Moon Studios GmbH,Xbox Game Studios,"2,000,000 .. 5,000,000",196,1999,1999,Action,63788,3191
635260,"CarX Technologies, LLC","CarX Technologies, LLC","2,000,000 .. 5,000,000",1658,339,1699,"Action, Casual, Massively Multiplayer, Racing, Simulation, Sports",79504,3912
414340,Ninja Theory,"Ninja Theory, Xbox Game Studios","2,000,000 .. 5,000,000",73,2999,2999,"Action, Adventure, Indie",66212,7260
47870,Criterion Games,Electronic Arts,"2,000,000 .. 5,000,000",19,0,0,Racing,16490,3487
1304930,Red Barrels,Red Barrels,"2,000,000 .. 5,000,000",3743,1199,3999,"Action, Adventure, Indie",62533,4423
1272080,Starbreeze Studios,Starbreeze Entertainment,"2,000,000 .. 5,000,000",644,2999,2999,"Action, Adventure, RPG",25497,33195
1313140,Massive Monster,Devolver Digital,"2,000,000 .. 5,000,000",1535,1249,2499,"Action, Adventure, Indie, Strategy",98711,4517
261570,Moon Studios GmbH,Xbox Game Studios,"2,000,000 .. 5,000,000",172,0,0,Action,54150,3262
200260,Rocksteady Studios,WB Games,"2,000,000 .. 5,000,000",655,399,1999,"Action, Adventure",65947,2689
393380,Offworld,Offworld,"2,000,000 .. 5,000,000",9116,1999,3999,"Action, Indie, Massively Multiplayer, Strategy",175088,35463
1254120,VALOFE,VALOFE,"2,000,000 .. 5,000,000",291,0,0,"Action, Massively Multiplayer, RPG, Free To Play",16259,14611
201790,Robot Entertainment,Robot Entertainment,"2,000,000 .. 5,000,000",34,1499,1499,"Action, Adventure, Indie, RPG, Strategy",17917,1371
787860,Giants Software,Giants Software,"2,000,000 .. 5,000,000",983,1799,1799,Simulation,70448,4172
466560,Shiro Games,Shiro Games,"2,000,000 .. 5,000,000",1164,979,3499,"Adventure, Indie, Simulation, Strategy",55844,8851
740130,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"2,000,000 .. 5,000,000",182,1999,4999,"Action, RPG",30379,4403
1248130,Giants Software,Giants Software,"2,000,000 .. 5,000,000",5419,1399,1999,Simulation,78110,6402
325610,CREATIVE ASSEMBLY,SEGA,"2,000,000 .. 5,000,000",1422,1529,4499,Strategy,28785,6287
1643320,GSC Game World,"GSC Game World (worldwide), SEGA (Japan), 4Divinity (China and South East Asia)","2,000,000 .. 5,000,000",2403,4199,5999,"Action, Adventure, RPG",91274,22072
63380,Rebellion,Rebellion,"2,000,000 .. 5,000,000",34,0,0,Action,22263,2958
201810,MachineGames,Bethesda Softworks,"2,000,000 .. 5,000,000",417,499,1999,Action,51691,4778
50,Gearbox Software,Valve,"2,000,000 .. 5,000,000",74,499,499,Action,24363,1198
1845910,BioWare,Electronic Arts,"2,000,000 .. 5,000,000",804,1799,5999,"Action, Adventure, RPG, Strategy",28118,12361
1029690,Rebellion,Rebellion,"2,000,000 .. 5,000,000",1538,999,4999,"Action, Adventure",18453,3750
312660,Rebellion,Rebellion,"2,000,000 .. 5,000,000",541,599,5999,"Action, Adventure",53923,5232
502500,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"2,000,000 .. 5,000,000",340,959,5999,"Action, Simulation",42202,5990
736590,Drakeling Labs,"Funbox Media Ltd, ZOOM Platform Media","2,000,000 .. 5,000,000",119,0,0,"Action, Casual, Indie, Simulation, Strategy, Free To Play, Early Access",14167,4253
1637320,Bippinbits,Raw Fury,"2,000,000 .. 5,000,000",402,539,1799,"Action, Adventure, Indie, Simulation",14952,1260
41070,Croteam,Devolver Digital,"2,000,000 .. 5,000,000",105,299,2999,"Action, Indie",24491,3224
1284210,ArenaNet®,ArenaNet®,"2,000,000 .. 5,000,000",3277,0,0,"Adventure, Massively Multiplayer, RPG, Free To Play",19151,2392
485510,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","2,000,000 .. 5,000,000",291,749,4999,"Action, RPG",27867,7025
35700,Frozenbyte,Frozenbyte,"2,000,000 .. 5,000,000",16,1499,1499,"Action, Adventure, Indie",14696,649
282140,Frictional Games,Frictional Games,"2,000,000 .. 5,000,000",57,1019,2999,"Action, Adventure, Indie",43530,1835
225260,Double Fine Productions,"Double Fine Productions, Xbox Game Studios","2,000,000 .. 5,000,000",36,299,1499,"Action, Adventure, Strategy",17657,1314
204300,Ronimo Games,Atari,"2,000,000 .. 5,000,000",83,999,1999,"Action, Indie, Strategy",22618,4113
858820,Norsfell,"Gearbox Publishing, 2K","2,000,000 .. 5,000,000",113,499,1999,"Action, Adventure, Indie, RPG",17197,5278
349040,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,"2,000,000 .. 5,000,000",384,1499,1999,"Action, Adventure",80515,7987
823130,Landfall,Landfall,"2,000,000 .. 5,000,000",121,0,0,"Action, Indie, Free To Play",76919,10093
637650,Square Enix,Square Enix,"2,000,000 .. 5,000,000",339,1399,3499,RPG,44632,9056
703080,Frontier Developments,Frontier Developments,"2,000,000 .. 5,000,000",2497,224,4499,"Casual, Simulation, Strategy",80029,7820
35140,Rocksteady Studios,WB Games,"2,000,000 .. 5,000,000",601,299,1999,"Action, Adventure",70940,2711
433340,Monomi Park,Monomi Park,"2,000,000 .. 5,000,000",858,499,1999,"Action, Adventure, Indie, Simulation",135271,2826
527230,IronOak Games,Curve Games,"2,000,000 .. 5,000,000",428,399,1999,"Adventure, Indie, RPG, Strategy",36581,4906
645630,Red Dot Games,PlayWay S.A.,"2,000,000 .. 5,000,000",202,199,1999,"Racing, Simulation",47065,4456
1790600,"Spike Chunsoft Co., Ltd.",Bandai Namco Entertainment,"2,000,000 .. 5,000,000",949,3499,6999,Action,58221,6959
368260,Firaxis Games,2K,"2,000,000 .. 5,000,000",436,5999,5999,"RPG, Strategy",17871,4003
453480,"Cygames, Inc.","Cygames, Inc., Cygames Korea Inc.","2,000,000 .. 5,000,000",1122,0,0,"Strategy, Free To Play",10839,3875
633230,Soleil Ltd.,Bandai Namco Entertainment,"2,000,000 .. 5,000,000",255,499,1999,Action,47138,8892
1371980,Moon Studios GmbH,Moon Studios GmbH,"2,000,000 .. 5,000,000",947,2799,3999,"Action, Adventure, RPG, Early Access",39563,10970
606150,Digital Sun,11 bit studios,"2,000,000 .. 5,000,000",127,299,1999,"Action, Adventure, Indie",16395,3518
342200,Piranha Games Inc.,Piranha Games Inc.,"2,000,000 .. 5,000,000",392,0,0,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",9790,2430
55150,Relic Entertainment,Relic Entertainment,"2,000,000 .. 5,000,000",95,999,3999,Action,27915,2501
8980,Gearbox Software,2K,"2,000,000 .. 5,000,000",142,989,2999,"Action, RPG",28944,3579
1343400,Jagex Ltd,Jagex Ltd,"2,000,000 .. 5,000,000",2496,0,0,"Massively Multiplayer, RPG, Free To Play",20941,4397
234650,Harebrained Schemes,Paradox Interactive,"2,000,000 .. 5,000,000",31,374,1499,"Adventure, Indie, RPG, Strategy",11833,1549
206440,Freebird Games,"Freebird Games, Serenity Forge","2,000,000 .. 5,000,000",86,199,999,"Adventure, Indie, RPG",77246,3015
1687950,ATLUS,SEGA,"2,000,000 .. 5,000,000",4994,1799,5999,RPG,99657,3487
238370,Pieces Interactive,Paradox Interactive,"2,000,000 .. 5,000,000",26,374,1499,"Action, Adventure",11061,2330
977950,7th Beat Games,"7th Beat Games, indienova","2,000,000 .. 5,000,000",1870,479,599,Indie,69052,4419
268050,Tango Gameworks,Bethesda Softworks,"2,000,000 .. 5,000,000",211,1999,1999,Action,25820,4485
289130,AMPLITUDE Studios,AMPLITUDE Studios,"2,000,000 .. 5,000,000",173,2999,2999,"RPG, Strategy",15589,3042
1557740,Landfall,Landfall,"2,000,000 .. 5,000,000",555,299,599,"Action, Indie",34893,1765
683320,Nomada Studio,Devolver Digital,"2,000,000 .. 5,000,000",67,299,1499,"Adventure, Indie",80404,3044
2551020,Duhndal,Duhndal,"2,000,000 .. 5,000,000",786,0,0,"Action, Indie, Simulation, Strategy, Free To Play",35393,3335
1817070,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,"2,000,000 .. 5,000,000",1190,2399,5999,"Action, Adventure, Casual",107786,4606
205100,Arkane Studios,Bethesda Softworks,"2,000,000 .. 5,000,000",288,199,1999,"Action, Adventure",80427,1943
55230,Volition,Deep Silver,"2,000,000 .. 5,000,000",163,249,999,Action,65644,2956
262060,Red Hook Studios,Red Hook Studios,"2,000,000 .. 5,000,000",3848,374,2499,"Indie, RPG, Strategy",137026,12430
6060,Pandemic Studios,"Lucasfilm, LucasArts, Disney","2,000,000 .. 5,000,000",323,349,999,Action,50396,2891
508440,Landfall,Landfall,"2,000,000 .. 5,000,000",1299,679,1999,"Indie, Simulation, Strategy",132974,2969
307780,"NetherRealm Studios, QLOC","Warner Bros. Games, Warner Bros. Interactive Entertainment","2,000,000 .. 5,000,000",426,399,1999,Action,48077,8175
403640,Arkane Studios,Bethesda Softworks,"2,000,000 .. 5,000,000",308,599,2999,Action,56155,6627
1203620,Keen Games GmbH,Keen Games GmbH,"2,000,000 .. 5,000,000",10654,2399,2999,"Action, Adventure, Indie, RPG, Early Access",67486,10594
397540,Gearbox Software,2K,"2,000,000 .. 5,000,000",3164,599,5999,"Action, RPG",125248,23817
208650,Rocksteady Studios,WB Games,"2,000,000 .. 5,000,000",1587,399,1999,"Action, Adventure",124147,15901
244850,Keen Software House,Keen Software House,"2,000,000 .. 5,000,000",4201,1999,1999,"Action, Indie, Simulation, Strategy",117204,15143
1142710,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive","2,000,000 .. 5,000,000",16842,899,5999,"Action, Strategy",87141,32717
2593370,零创游戏(ZerocreationGame),"零创游戏(ZerocreationGame), 2P Games","1,000,000 .. 2,000,000",181,629,999,"Adventure, Indie, RPG",50859,1921
39500,Piranha Bytes,THQ Nordic,"1,000,000 .. 2,000,000",173,499,1999,"Action, RPG",9244,2120
1286680,Gearbox Software,2K,"1,000,000 .. 2,000,000",866,5999,5999,"Action, Adventure, RPG",15933,6053
1290000,FuturLab,FuturLab,"1,000,000 .. 2,000,000",2547,2499,2499,"Casual, Indie, Simulation",50767,1643
57690,Haemimont Games,Kalypso Media Digital,"1,000,000 .. 2,000,000",87,1499,1499,"Simulation, Strategy",11400,1027
208140,AMPLITUDE Studios,AMPLITUDE Studios,"1,000,000 .. 2,000,000",106,999,999,Strategy,7540,1824
519860,David Szymanski,New Blood Interactive,"1,000,000 .. 2,000,000",36,679,1999,"Action, Indie",22830,639
582500,Total Mayhem Games,Total Mayhem Games,"1,000,000 .. 2,000,000",142,0,0,"Action, Adventure, Indie, Free To Play",27014,2983
1058020,Pandemic Studios,"Lucasfilm, LucasArts, Disney","1,000,000 .. 2,000,000",50,499,999,Action,4186,153
246620,Ndemic Creations,Ndemic Creations,"1,000,000 .. 2,000,000",1494,149,1499,"Casual, Indie, Simulation, Strategy",52571,3093
324800,Flying Wild Hog,Devolver Digital,"1,000,000 .. 2,000,000",61,299,2999,"Action, Adventure",23758,3472
313160,Giants Software,Giants Software,"1,000,000 .. 2,000,000",84,649,1299,Simulation,14243,1193
257850,Heart Machine,Heart Machine,"1,000,000 .. 2,000,000",44,499,1999,"Action, Adventure, Indie, RPG",16617,1226
1490890,CyberConnect2,SEGA,"1,000,000 .. 2,000,000",59,1499,5999,"Action, Adventure",16576,2423
960170,NEOWIZ,NEOWIZ,"1,000,000 .. 2,000,000",854,999,4999,"Action, Casual, Sports",26014,3112
1922560,PopCap,Electronic Arts,"1,000,000 .. 2,000,000",855,899,2999,"Action, Casual, Strategy",30964,3331
1385380,Dreamsite Games,"Paradox Interactive, Paradox Arc","1,000,000 .. 2,000,000",531,1999,1999,"Adventure, Indie, RPG, Strategy",9733,2133
411300,Piranha Bytes,THQ Nordic,"1,000,000 .. 2,000,000",82,749,2999,"Action, Adventure, RPG",14162,4856
247080,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment","1,000,000 .. 2,000,000",114,1499,1499,"Action, Indie, RPG",24053,1063
392110,AMPLITUDE Studios,AMPLITUDE Studios,"1,000,000 .. 2,000,000",359,999,3999,Strategy,18526,3664
9340,Relic Entertainment,SEGA,"1,000,000 .. 2,000,000",19,399,1999,"Action, Strategy",1045,93
752590,Asobo Studio,Focus Entertainment,"1,000,000 .. 2,000,000",145,399,3999,"Action, Adventure",58909,4133
612880,MachineGames,Bethesda Softworks,"1,000,000 .. 2,000,000",290,599,3999,Action,36084,8413
638070,Blazing Griffin,Blazing Griffin,"1,000,000 .. 2,000,000",3,999,999,"Action, Indie, Simulation, Strategy",1794,1022
232890,Firefly Studios,Firefly Studios,"1,000,000 .. 2,000,000",217,399,3999,"Simulation, Strategy",12328,4754
1343370,Jagex Ltd,Jagex Ltd,"1,000,000 .. 2,000,000",1050,0,0,"Adventure, Massively Multiplayer, RPG, Free To Play",15244,3091
102600,Robot Entertainment,Robot Entertainment,"1,000,000 .. 2,000,000",20,249,999,"Action, Indie, Strategy",7856,333
2527500,AIHASTO,"IndieArk, Shochiku (Japan)","1,000,000 .. 2,000,000",631,1199,1499,"Adventure, Indie, RPG, Simulation",108883,2204
774361,The Game Kitchen,Team17,"1,000,000 .. 2,000,000",479,249,2499,"Action, Adventure, Indie",46393,5091
251060,Eugen Systems,Eugen Systems,"1,000,000 .. 2,000,000",434,749,2999,"Indie, Simulation, Strategy",17036,2147
4500,GSC Game World,GSC Game World,"1,000,000 .. 2,000,000",185,1999,1999,"Action, RPG",44761,2530
32470,Petroglyph,"LucasArts, Lucasfilm, Disney","1,000,000 .. 2,000,000",2818,699,1999,Strategy,38503,932
637090,Harebrained Schemes,Paradox Interactive,"1,000,000 .. 2,000,000",1446,999,3999,"Action, Adventure, Strategy",26438,5125
690790,Codemasters,"Codemasters, Electronic Arts","1,000,000 .. 2,000,000",631,1399,1999,"Racing, Simulation, Sports",39383,5212
704850,Noble Muffins,PlayWay S.A.,"1,000,000 .. 2,000,000",243,199,1999,"Action, Adventure, Indie, Simulation",31601,4206
424370,WOLCEN Studio,WOLCEN Studio,"1,000,000 .. 2,000,000",30,2999,2999,"Action, Adventure, Indie, RPG",37846,29831
851850,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment Inc.,"1,000,000 .. 2,000,000",264,1499,1999,"Action, RPG",50976,3704
243470,Ubisoft,Ubisoft,"1,000,000 .. 2,000,000",388,199,1999,"Action, Adventure",35770,9953
34440,Firaxis Games,2K,"1,000,000 .. 2,000,000",1,399,1999,Strategy,1473,145
4570,Relic Entertainment,Relic Entertainment,"1,000,000 .. 2,000,000",76,989,1499,Strategy,10634,572
2322560,intiny,intiny,"1,000,000 .. 2,000,000",71,699,999,"Adventure, Indie, RPG, Simulation, Strategy",42490,2924
10680,Rebellion,SEGA,"1,000,000 .. 2,000,000",49,374,1499,Action,18175,1778
216150,NEXON Korea Corporation,Nexon America Inc.,"1,000,000 .. 2,000,000",8092,0,0,"Action, Adventure, Casual, Massively Multiplayer, RPG, Free To Play",8882,5305
378540,Deck13,Focus Entertainment,"1,000,000 .. 2,000,000",92,1499,1499,"Action, RPG",8236,2715
736220,Offworld,Offworld,"1,000,000 .. 2,000,000",143,799,1999,"Action, Indie, Massively Multiplayer, Strategy",18508,6156
228200,Relic Entertainment,Relic Entertainment,"1,000,000 .. 2,000,000",864,399,1999,"Action, Strategy",16025,946
233720,Bossa Studios,"Infogrames, Atari","1,000,000 .. 2,000,000",11,149,999,"Action, Indie, Simulation",13566,2927
1282100,Gunfire Games,"Arc Games, THQ Nordic","1,000,000 .. 2,000,000",1573,1249,4999,"Action, Adventure, RPG",50249,10114
130,Gearbox Software,Valve,"1,000,000 .. 2,000,000",35,99,499,Action,17384,1410
418240,Mimimi Games,Daedalic Entertainment,"1,000,000 .. 2,000,000",218,399,3999,"Indie, Strategy",35767,1470
17460,BioWare,Electronic Arts,"1,000,000 .. 2,000,000",22,449,2999,"Action, RPG",15394,1040
1178830,FYQD-Studio,"FYQD-Studio, PLAYISM","1,000,000 .. 2,000,000",44,1999,1999,"Action, Indie",35622,3089
334230,BlankMediaGames,Digital Bandidos,"1,000,000 .. 2,000,000",117,499,499,"Action, Casual, RPG, Strategy",32095,4314
599140,Lazy Bear Games,tinyBuild,"1,000,000 .. 2,000,000",941,399,1999,"Adventure, Indie, RPG, Simulation",37721,5926
1621690,Pugstorm,"Fireshine Games, bilibili","1,000,000 .. 2,000,000",3688,1399,1999,"Action, Adventure, Indie, RPG, Simulation",51042,3937
1778820,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"1,000,000 .. 2,000,000",4409,2399,3999,Action,33020,28048
1522820,Robot Entertainment,Robot Entertainment,"1,000,000 .. 2,000,000",161,2999,2999,"Action, Adventure, Indie, Strategy",12067,2016
23310,Square Enix,Square Enix,"1,000,000 .. 2,000,000",26,0,0,RPG,3308,762
3910,Firaxis Games,2K,"1,000,000 .. 2,000,000",1383,99,499,Strategy,6485,746
41000,Croteam,Devolver Digital,"1,000,000 .. 2,000,000",46,149,1499,"Action, Indie",7652,539
1284190,Miju Games,Miju Games,"1,000,000 .. 2,000,000",7330,2399,2399,Adventure,52168,2148
585420,Flashbulb,Flashbulb,"1,000,000 .. 2,000,000",903,499,2499,"Action, Adventure, Indie, Racing, Simulation",25941,2106
527430,NeocoreGames,NeocoreGames,"1,000,000 .. 2,000,000",208,4999,4999,"Action, Adventure, Indie, RPG",16053,5097
334210,Siege Camp,Siege Camp,"1,000,000 .. 2,000,000",1,224,1499,"Action, Indie, Strategy",1275,435
535930,Two Point Studios,SEGA,"1,000,000 .. 2,000,000",518,449,2999,"Indie, Simulation",30563,2711
414700,Red Barrels,Red Barrels,"1,000,000 .. 2,000,000",119,499,1999,"Action, Adventure, Indie",50676,4824
292910,Daedalic Entertainment,Daedalic Entertainment,"1,000,000 .. 2,000,000",31,2999,2999,Adventure,5613,931
447020,GIANTS Software,GIANTS Software,"1,000,000 .. 2,000,000",221,1499,1499,Simulation,23379,1630
1929610,Clock Wizard Games,Clock Wizard Games,"1,000,000 .. 2,000,000",266,999,1999,"Action, Adventure, Indie",18742,3006
2096610,"Crytek, Saber Interactive",Crytek,"1,000,000 .. 2,000,000",59,1349,2999,Action,5108,685
250400,Eko Software,505 Games,"1,000,000 .. 2,000,000",10,374,1499,"Action, Adventure, RPG",14071,2954
410320,SANDLOT,D3PUBLISHER,"1,000,000 .. 2,000,000",71,1999,1999,Action,9554,500
601430,Tango Gameworks,Bethesda Softworks,"1,000,000 .. 2,000,000",176,799,3999,"Action, Adventure",26655,2251
1190000,Red Dot Games,PlayWay S.A.,"1,000,000 .. 2,000,000",1343,374,2499,"Racing, Simulation",28630,1211
39140,Square Enix,Square Enix,"1,000,000 .. 2,000,000",386,1199,1199,RPG,25998,2013
220440,Ninja Theory,Capcom,"1,000,000 .. 2,000,000",107,449,2999,"Action, Adventure",27949,2035
337320,South East Games,South East Games,"1,000,000 .. 2,000,000",296,999,1999,"Action, Indie",28358,1218
350640,Frogwares,Frogwares,"1,000,000 .. 2,000,000",21,299,2999,"Action, Adventure",10985,2803
1475810,Tango Gameworks,Bethesda Softworks,"1,000,000 .. 2,000,000",97,599,5999,Action,15393,3269
427270,Robot Entertainment,Robot Entertainment,"1,000,000 .. 2,000,000",2,0,0,"Action, Free To Play, Strategy",4205,1915
816020,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,"1,000,000 .. 2,000,000",12,0,0,Action,16682,6019
34460,Firaxis Games,2K,"1,000,000 .. 2,000,000",5,599,2999,Strategy,1516,75
55110,Volition,Deep Silver ,"1,000,000 .. 2,000,000",6,399,1999,Action,3537,1314
278080,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","1,000,000 .. 2,000,000",242,4999,4999,Action,11342,2155
1987080,MrFatcat,"MrFatcat, Dropsiick","1,000,000 .. 2,000,000",237,699,699,"Adventure, Indie, Early Access",36836,8196
245620,Haemimont Games,Kalypso Media Digital,"1,000,000 .. 2,000,000",97,799,1999,"RPG, Simulation, Strategy",11092,3031
657200,HFM Games,HFM Games,"1,000,000 .. 2,000,000",20,149,299,Simulation,30653,5873
1388770,Consumer Softproducts,Consumer Softproducts,"1,000,000 .. 2,000,000",50,199,1999,"Action, Indie, Simulation",20136,655
603850,Łukasz Jakowski,Łukasz Jakowski Games,"1,000,000 .. 2,000,000",513,479,599,Strategy,41684,4711
1113000,ATLUS,SEGA,"1,000,000 .. 2,000,000",962,999,1999,RPG,76008,2338
1016920,Indoor Astronaut,Daedalic Entertainment,"1,000,000 .. 2,000,000",182,1999,1999,"Action, Casual, Indie",17426,1243
955050,FYQD-Studio,"FYQD-Studio, PLAYISM","1,000,000 .. 2,000,000",5,319,799,"Action, Adventure, Indie",29613,3115
794260,Nine Dots Studio,"Prime Matter, Deep Silver","1,000,000 .. 2,000,000",469,479,3999,RPG,20738,7717
2680010,Neople,NEXON,"1,000,000 .. 2,000,000",1253,3599,5999,"Action, Adventure, RPG",15733,1816
920210,TT Games,"Warner Bros. Games, Warner Bros. Interactive Entertainment","1,000,000 .. 2,000,000",719,999,4999,"Action, Adventure",40865,4173
257510,Croteam,"Devolver Digital, Croteam","1,000,000 .. 2,000,000",117,449,2999,"Action, Adventure, Indie",30399,1462
4760,CREATIVE ASSEMBLY,SEGA,"1,000,000 .. 2,000,000",552,0,0,Strategy,15304,873
568220,ProjectMoon,ProjectMoon,"1,000,000 .. 2,000,000",1524,2499,2499,"Indie, Simulation",41213,2719
257350,Beamdog,Beamdog,"1,000,000 .. 2,000,000",279,699,1999,"Adventure, RPG",9243,797
374040,Keen Games GmbH,505 Games,"1,000,000 .. 2,000,000",76,299,1999,"Action, Adventure, RPG",18093,3593
668580,Mundfish,"Focus Entertainment, 4Divinity","1,000,000 .. 2,000,000",466,1499,5999,"Action, Adventure, RPG",31167,6828
9450,Relic Entertainment,SEGA,"1,000,000 .. 2,000,000",673,0,0,Strategy,16764,847
490220,Lunarch Studios,Lunarch Studios,"1,000,000 .. 2,000,000",6,0,0,"Free To Play, Indie, Simulation, Strategy, Early Access",970,217
673950,Milkstone Studios,Milkstone Studios,"1,000,000 .. 2,000,000",311,599,1999,"Casual, Indie, Simulation",20462,1266
747660,Steel Wool Studios,ScottGames,"1,000,000 .. 2,000,000",196,1999,3999,"Action, Adventure, Indie",56080,8779
239350,Mossmouth,Mossmouth,"1,000,000 .. 2,000,000",60,374,1499,Indie,15005,1288
377300,"KRAFTON, Inc.","KRAFTON, Inc.","1,000,000 .. 2,000,000",102,0,0,"Action, Simulation, Free To Play",3162,1573
2552430,Square Enix,Square Enix,"1,000,000 .. 2,000,000",886,1999,4999,"Action, Adventure, RPG",6361,1241
1030840,Hangar 13,2K,"1,000,000 .. 2,000,000",686,3999,3999,"Action, Adventure",79686,12107
823500,Stress Level Zero,Stress Level Zero,"1,000,000 .. 2,000,000",38,2399,2999,"Action, Adventure, Indie, Simulation",32917,2762
204340,Croteam,Devolver Digital,"1,000,000 .. 2,000,000",61,99,999,"Action, Indie",11356,1312
2206460,Sujiko,GigantGame-A,"1,000,000 .. 2,000,000",2,749,2999,Indie,17,4
262280,Realmforge Studios,Kalypso Media Digital,"1,000,000 .. 2,000,000",13,499,1999,"RPG, Simulation, Strategy",4235,939
1846380,Criterion Games,Electronic Arts,"1,000,000 .. 2,000,000",618,699,6999,"Action, Racing",29906,19702
1515210,Rusty Lake,Rusty Lake,"1,000,000 .. 2,000,000",51,335,599,"Adventure, Indie",14362,794
1147550,NotGames,tinyBuild,"1,000,000 .. 2,000,000",33,624,2499,"Adventure, Indie, Simulation",10897,687
434650,Hunter Studio,Neon Doctrine,"1,000,000 .. 2,000,000",114,299,999,"Action, Adventure, Indie, RPG",20442,3082
